Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
TMY3,724555,Manhattan Rgnl,KS,USA,39.133000,-96.667000,-6,330
Year,Month,Day,Hour,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Albedo
2000,1,1,0,0,0,0,-1,-2,92,973,0,0,0.19
2000,1,1,1,0,0,0,-3,-5,84,973,0,0,0.19
2000,1,1,2,0,0,0,-3,-4,92,972,0,0,0.19
2000,1,1,3,0,0,0,-1,-2,92,972,0,0,0.19
2000,1,1,4,0,0,0,-4,-6,84,972,0,0,0.19
2000,1,1,5,0,0,0,-1,-2,92,972,0,0,0.19
2000,1,1,6,0,0,0,-2,-3,92,971,0,0,0.19
2000,1,1,7,0,0,0,1,-1,86,972,0,0,0.19
2000,1,1,8,63,48,57,6,2,75,972,3.6,160,0.19
2000,1,1,9,177,244,114,10,2,57,971,5.7,180,0.19
2000,1,1,10,264,259,168,11,2,54,970,6.7,180,0.19
2000,1,1,11,432,637,149,15,3,44,969,6.7,180,0.19
2000,1,1,12,416,583,143,18,2,34,967,8.7,190,0.19
2000,1,1,13,425,732,100,18,3,37,966,9.3,200,0.19
2000,1,1,14,350,558,142,18,4,39,965,8.7,200,0.19
2000,1,1,15,127,91,103,18,4,39,965,7.7,210,0.19
2000,1,1,16,78,234,51,16,3,42,965,4.6,210,0.19
2000,1,1,17,0,0,0,12,2,50,964,4.1,220,0.19
2000,1,1,18,0,0,0,11,2,54,964,3.1,220,0.19
2000,1,1,19,0,0,0,12,2,50,964,4.1,200,0.19
2000,1,1,20,0,0,0,13,2,47,963,5.1,200,0.19
2000,1,1,21,0,0,0,12,3,54,962,5.1,220,0.19
2000,1,1,22,0,0,0,12,3,54,962,6.2,210,0.19
2000,1,1,23,0,0,0,13,4,54,961,7.2,210,0.19
2000,1,2,0,0,0,0,14,6,59,960,9.3,210,0.19
2000,1,2,1,0,0,0,13,4,54,960,8.2,220,0.19
2000,1,2,2,0,0,0,12,2,50,961,6.7,210,0.19
2000,1,2,3,0,0,0,11,-1,43,962,8.7,240,0.19
2000,1,2,4,0,0,0,2,-1,80,964,5.7,290,0.19
2000,1,2,5,0,0,0,0,-2,85,966,3.1,240,0.19
2000,1,2,6,0,0,0,0,-2,85,967,2.6,270,0.19
2000,1,2,7,0,0,0,0,-2,85,969,3.1,280,0.19
2000,1,2,8,101,485,47,1,-3,72,970,5.1,310,0.19
2000,1,2,9,244,707,61,2,-3,67,971,4.6,320,0.19
2000,1,2,10,376,813,73,3,-3,63,972,4.1,310,0.19
2000,1,2,11,457,849,80,6,-3,51,972,3.6,330,0.19
2000,1,2,12,476,835,85,6,-3,51,971,3.2,330,0.19
2000,1,2,13,454,846,77,7,-3,48,972,2.9,330,0.19
2000,1,2,14,367,799,67,7,-3,48,972,2.5,320,0.19
2000,1,2,15,229,678,51,7,-3,48,972,2.1,320,0.19
2000,1,2,16,79,410,31,6,-4,47,972,0,0,0.19
2000,1,2,17,0,0,0,1,-4,67,972,0,0,0.19
2000,1,2,18,0,0,0,0,-3,78,973,2.1,20,0.19
2000,1,2,19,0,0,0,-2,-4,85,973,0,0,0.19
2000,1,2,20,0,0,0,-2,-4,85,973,0,0,0.19
2000,1,2,21,0,0,0,-4,-6,84,973,0,0,0.19
2000,1,2,22,0,0,0,-5,-6,92,973,0,0,0.19
2000,1,2,23,0,0,0,-4,-4,100,971,0,0,0.19
2000,1,3,0,0,0,0,-3,-4,92,971,0,0,0.19
2000,1,3,1,0,0,0,-3,-4,92,971,1.5,10,0.19
2000,1,3,2,0,0,0,-2,-3,92,969,4.6,40,0.19
2000,1,3,3,0,0,0,-1,-3,85,971,4.1,50,0.19
2000,1,3,4,0,0,0,-1,-2,92,970,4.6,70,0.19
2000,1,3,5,0,0,0,-1,-2,92,970,3.1,80,0.19
2000,1,3,6,0,0,0,0,-1,92,969,5.1,60,0.19
2000,1,3,7,0,0,0,0,-1,92,970,4.1,30,0.19
2000,1,3,8,13,0,13,0,-1,92,971,4.1,20,0.19
2000,1,3,9,52,0,52,0,0,100,972,3.6,20,0.19
2000,1,3,10,59,0,59,1,0,93,972,3.6,360,0.19
2000,1,3,11,75,0,75,1,-1,86,972,4.6,360,0.19
2000,1,3,12,103,0,103,0,-1,92,972,4.6,360,0.19
2000,1,3,13,70,0,70,1,-1,86,972,5.1,360,0.19
2000,1,3,14,111,0,111,1,-1,86,973,6.2,360,0.19
2000,1,3,15,102,23,96,1,-2,79,974,6.7,360,0.19
2000,1,3,16,53,121,39,1,-2,79,976,6.2,360,0.19
2000,1,3,17,0,0,0,0,-3,78,977,7.7,360,0.19
2000,1,3,18,0,0,0,0,-4,72,979,8.7,360,0.19
2000,1,3,19,0,0,0,-1,-3,85,980,7.2,360,0.19
2000,1,3,20,0,0,0,-1,-4,78,981,6.2,350,0.19
2000,1,3,21,0,0,0,-2,-6,71,982,6.7,350,0.19
2000,1,3,22,0,0,0,-3,-7,71,983,4.6,320,0.19
2000,1,3,23,0,0,0,-4,-8,71,984,4.6,340,0.19
2000,1,4,0,0,0,0,-6,-10,70,984,4.1,320,0.19
2000,1,4,1,0,0,0,-7.8,-11.9,70,985,3.6,320,0.19
2000,1,4,2,0,0,0,-10,-14,70,985,3.1,320,0.19
2000,1,4,3,0,0,0,-11,-15,70,985,3.1,310,0.19
2000,1,4,4,0,0,0,-11,-15,70,985,2.6,290,0.19
2000,1,4,5,0,0,0,-12,-16,69,986,2.1,290,0.19
2000,1,4,6,0,0,0,-12,-16,69,987,3.6,310,0.19
2000,1,4,7,0,0,0,-12,-16,69,987,2.6,280,0.19
2000,1,4,8,63,81,54,-10,-15,64,988,3.6,290,0.19
2000,1,4,9,74,0,74,-9,-15,58,989,4.6,310,0.19
2000,1,4,10,297,333,173,-8,-14,58,989,4.1,320,0.19
2000,1,4,11,357,400,178,-7,-13,59,989,4.1,300,0.19
2000,1,4,12,380,402,190,-6,-12,59,988,4.1,270,0.19
2000,1,4,13,355,393,179,-4,-11,54,988,4.6,240,0.19
2000,1,4,14,278,353,144,-4,-10,59,987,4.1,240,0.19
2000,1,4,15,189,348,96,-4,-10,59,987,3.1,230,0.19
2000,1,4,16,38,56,31,-7,-11,70,987,2.6,220,0.19
2000,1,4,17,0,0,0,-9,-12,77,986,2.6,210,0.19
2000,1,4,18,0,0,0,-10,-13,76,986,2.1,210,0.19
2000,1,4,19,0,0,0,-10,-13,76,985,2.1,210,0.19
2000,1,4,20,0,0,0,-11,-13,84,985,0,0,0.19
2000,1,4,21,0,0,0,-11,-13,84,984,0,0,0.19
2000,1,4,22,0,0,0,-12,-13,91,983,0,0,0.19
2000,1,4,23,0,0,0,-11,-13,84,983,0,0,0.19
2000,1,5,0,0,0,0,-11,-12,91,981,0,0,0.19
2000,1,5,1,0,0,0,-11,-13,84,980,0,0,0.19
2000,1,5,2,0,0,0,-6,-8,84,980,3.6,160,0.19
2000,1,5,3,0,0,0,-3,-8,65,979,4.1,180,0.19
2000,1,5,4,0,0,0,-3,-8,65,978,4.1,190,0.19
2000,1,5,5,0,0,0,-2,-7,65,978,6.7,180,0.19
2000,1,5,6,0,0,0,-2,-7,65,978,5.7,190,0.19
2000,1,5,7,0,0,0,-3,-8,65,977,5.1,180,0.19
2000,1,5,8,101,494,46,-2,-7,65,977,4.6,190,0.19
2000,1,5,9,252,720,64,1,-6,56,977,4.6,210,0.19
2000,1,5,10,376,788,81,2,-5,57,976,5.1,190,0.19
2000,1,5,11,463,855,80,3,-4,58,975,6.7,200,0.19
2000,1,5,12,489,859,82,6,-4,47,975,6.2,210,0.19
2000,1,5,13,460,846,79,6,-4,47,974,8.2,210,0.19
2000,1,5,14,378,794,76,6,-4,47,974,5.7,220,0.19
2000,1,5,15,225,451,104,5,-4,50,975,4.6,250,0.19
2000,1,5,16,50,81,40,4.5,-4,52,976,3.8,250,0.19
2000,1,5,17,0,0,0,2.9,-3.9,59,977,2.9,240,0.19
2000,1,5,18,0,0,0,2,-4,62,977,2.1,240,0.19
2000,1,5,19,0,0,0,1,-3,72,978,1.5,230,0.19
2000,1,5,20,0,0,0,1,-3,72,979,2.6,240,0.19
2000,1,5,21,0,0,0,-1,-4,78,979,0,0,0.19
2000,1,5,22,0,0,0,-2,-4,85,980,1.5,250,0.19
2000,1,5,23,0,0,0,-2,-4,85,981,1.5,230,0.19
2000,1,6,0,0,0,0,-3,-4,92,981,1.5,180,0.19
2000,1,6,1,0,0,0,-4,-7,77,981,0,0,0.19
2000,1,6,2,0,0,0,-5,-6,92,982,0,0,0.19
2000,1,6,3,0,0,0,-4,-6,84,983,0,0,0.19
2000,1,6,4,0,0,0,-4,-6,84,983,0,0,0.19
2000,1,6,5,0,0,0,-3,-6,77,984,2.1,190,0.19
2000,1,6,6,0,0,0,-3,-7,71,985,0,0,0.19
2000,1,6,7,0,0,0,-6,-7,92,986,1.5,200,0.19
2000,1,6,8,63,81,54,-4,-5,92,987,1.5,200,0.19
2000,1,6,9,133,45,122,-1,-3,85,989,2.1,230,0.19
2000,1,6,10,211,105,172,2,-4,62,989,2.1,210,0.19
2000,1,6,11,463,649,172,4,-4,54,989,0,0,0.19
2000,1,6,12,495,871,81,5.1,-4,50,989,1.8,310,0.19
2000,1,6,13,466,858,78,6,-4,47,988,3.6,250,0.19
2000,1,6,14,373,794,69,6,-3,51,988,4.6,210,0.19
2000,1,6,15,241,692,53,4,-3,59,988,5.1,220,0.19
2000,1,6,16,89,458,32,2,-4,62,989,3.6,230,0.19
2000,1,6,17,0,0,0,-1,-5,71,989,3.6,240,0.19
2000,1,6,18,0,0,0,-2,-5,78,989,1.5,240,0.19
2000,1,6,19,0,0,0,-1,-4,78,990,3.1,240,0.19
2000,1,6,20,0,0,0,-2,-5,78,990,2.6,240,0.19
2000,1,6,21,0,0,0,-3,-6,77,990,3.6,230,0.19
2000,1,6,22,0,0,0,-3,-6,77,990,3.6,230,0.19
2000,1,6,23,0,0,0,-4,-6,84,990,3.1,230,0.19
2000,1,7,0,0,0,0,-4,-6,84,990,2.6,240,0.19
2000,1,7,1,0,0,0,-7,-9,84,989,0,0,0.19
2000,1,7,2,0,0,0,-6,-8,84,990,0,0,0.19
2000,1,7,3,0,0,0,-8,-9,92,990,0,0,0.19
2000,1,7,4,0,0,0,-9,-10,92,990,0,0,0.19
2000,1,7,5,0,0,0,-8,-9,92,990,1.5,210,0.19
2000,1,7,6,0,0,0,-9,-10,92,990,0,0,0.19
2000,1,7,7,0,0,0,-9,-10,92,990,0,0,0.19
2000,1,7,8,101,486,46,-5,-7,84,990,1.5,210,0.19
2000,1,7,9,252,726,62,-1,-6,66,990,3.6,210,0.19
2000,1,7,10,383,819,74,2,-5,57,990,4.1,220,0.19
2000,1,7,11,463,849,81,6,-3,51,990,4.1,210,0.19
2000,1,7,12,495,865,82,8,-4,41,989,7.7,220,0.19
2000,1,7,13,466,852,79,8,-3,44,988,5.7,200,0.19
2000,1,7,14,396,859,64,8,-4,41,987,7.7,210,0.19
2000,1,7,15,262,755,55,8,-4,41,986,6.2,220,0.19
2000,1,7,16,94,501,30,7,-3,48,986,4.6,220,0.19
2000,1,7,17,0,0,0,2,-4,62,984,3.1,210,0.19
2000,1,7,18,0,0,0,-2,-5,78,984,0,0,0.19
2000,1,7,19,0,0,0,-2,-5,78,984,1.5,290,0.19
2000,1,7,20,0,0,0,-3,-6,77,984,1.5,220,0.19
2000,1,7,21,0,0,0,-3,-5,84,983,0,0,0.19
2000,1,7,22,0,0,0,-4,-7,77,982,0,0,0.19
2000,1,7,23,0,0,0,-4,-6,84,982,0,0,0.19
2000,1,8,0,0,0,0,0,-4,72,981,2.6,210,0.19
2000,1,8,1,0,0,0,-3,-6,77,980,0,0,0.19
2000,1,8,2,0,0,0,-3,-6,77,980,0,0,0.19
2000,1,8,3,0,0,0,-1,-4,78,979,1.5,220,0.19
2000,1,8,4,0,0,0,-1,-3,85,978,0,0,0.19
2000,1,8,5,0,0,0,-2,-4,85,978,0,0,0.19
2000,1,8,6,0,0,0,-2,-3,92,978,0,0,0.19
2000,1,8,7,0,0,0,-4,-5,92,977,0,0,0.19
2000,1,8,8,101,477,47,1,0,93,978,2.6,250,0.19
2000,1,8,9,252,443,135,4,3,93,978,5.1,220,0.19
2000,1,8,10,132,0,132,6,4,87,978,3.6,230,0.19
2000,1,8,11,88,0,88,6,5,93,976,6.7,220,0.19
2000,1,8,12,115,0,115,6,6,100,975,4.6,210,0.19
2000,1,8,13,134,0,134,6,6,100,973,3.1,230,0.19
2000,1,8,14,112,0,112,6,6,100,973,3.1,230,0.19
2000,1,8,15,51,0,51,6,6,100,972,0,0,0.19
2000,1,8,16,47,41,42,6,5,93,972,2.1,180,0.19
2000,1,8,17,0,0,0,4,4,100,971,0,0,0.19
2000,1,8,18,0,0,0,4,-2,64,971,0,0,0.19
2000,1,8,19,0,0,0,4,-1,69,971,0,0,0.19
2000,1,8,20,0,0,0,5,-1,64,970,0,0,0.19
2000,1,8,21,0,0,0,6,-1,60,970,2.1,190,0.19
2000,1,8,22,0,0,0,6,-1,60,970,1.5,180,0.19
2000,1,8,23,0,0,0,5.8,1.3,73,969,1,120,0.19
2000,1,9,0,0,0,0,5.9,3.7,86,969,0.5,60,0.19
2000,1,9,1,0,0,0,6,6,100,968,0,0,0.19
2000,1,9,2,0,0,0,6,6,100,968,2.1,280,0.19
2000,1,9,3,0,0,0,5,4,93,968,0,0,0.19
2000,1,9,4,0,0,0,5,4,93,967,0,0,0.19
2000,1,9,5,0,0,0,4,3,93,967,0,0,0.19
2000,1,9,6,0,0,0,4,4,100,966,0,0,0.19
2000,1,9,7,0,0,0,3,3,100,967,0,0,0.19
2000,1,9,8,88,339,50,2,2,100,967,1.5,170,0.19
2000,1,9,9,222,347,131,3,0,81,967,2.1,180,0.19
2000,1,9,10,125,0,125,3,0,81,966,2.6,170,0.19
2000,1,9,11,138,0,138,6,3,81,965,3.6,200,0.19
2000,1,9,12,115,0,115,6,3,81,964,2.1,260,0.19
2000,1,9,13,82,0,82,4,-1,69,963,2.9,240,0.19
2000,1,9,14,78,0,78,4,-1,69,963,3.6,220,0.19
2000,1,9,15,129,63,111,4,-1,69,963,3.1,240,0.19
2000,1,9,16,96,268,60,4,-1,69,963,2.1,290,0.19
2000,1,9,17,0,0,0,4,-1,69,964,2.6,250,0.19
2000,1,9,18,0,0,0,3,-1,74,964,3.1,250,0.19
2000,1,9,19,0,0,0,3,-1,74,964,2.1,250,0.19
2000,1,9,20,0,0,0,3,0,81,964,3.1,230,0.19
2000,1,9,21,0,0,0,1,-1,86,963,2.6,230,0.19
2000,1,9,22,0,0,0,1,-1,86,962,4.1,240,0.19
2000,1,9,23,0,0,0,0,-2,85,962,4.1,240,0.19
2000,1,10,0,0,0,0,-1,-2,92,962,4.1,230,0.19
2000,1,10,1,0,0,0,-1,-2,92,962,5.1,230,0.19
2000,1,10,2,0,0,0,-2,-3,92,963,2.6,240,0.19
2000,1,10,3,0,0,0,-2,-4,85,962,3.6,240,0.19
2000,1,10,4,0,0,0,-3,-6,77,962,3.1,230,0.19
2000,1,10,5,0,0,0,-4,-6,84,962,2.6,220,0.19
2000,1,10,6,0,0,0,-2.7,-5.7,77,962,2.6,230,0.19
2000,1,10,7,0,0,0,-1,-5,71,963,2.6,240,0.19
2000,1,10,8,100,460,48,1,-3,72,963,3.6,230,0.19
2000,1,10,9,251,713,63,3,-3,63,964,5.1,220,0.19
2000,1,10,10,383,807,76,7,-4,44,965,5.1,240,0.19
2000,1,10,11,470,849,83,9,-4,38,965,3.6,250,0.19
2000,1,10,12,501,865,83,11.1,-4,33,966,4.6,270,0.19
2000,1,10,13,473,852,79,13,-4,29,967,5.7,280,0.19
2000,1,10,14,391,618,147,13,-6,25,968,6.7,310,0.19
2000,1,10,15,103,29,95,11,-7,26,969,6.2,330,0.19
2000,1,10,16,72,186,47,10,-7,28,971,5.1,310,0.19
2000,1,10,17,0,0,0,9,-8,27,972,4.6,290,0.19
2000,1,10,18,0,0,0,7,-9,28,972,4.1,260,0.19
2000,1,10,19,0,0,0,7,-10,26,973,3.6,270,0.19
2000,1,10,20,0,0,0,5,-10,30,973,3.1,260,0.19
2000,1,10,21,0,0,0,4,-11,29,975,3.1,260,0.19
2000,1,10,22,0,0,0,3,-13,26,975,2.6,270,0.19
2000,1,10,23,0,0,0,1,-12,33,977,2.1,280,0.19
2000,1,11,0,0,0,0,-1,-11,42,976,3.1,240,0.19
2000,1,11,1,0,0,0,-1,-13,35,977,2.6,260,0.19
2000,1,11,2,0,0,0,-2,-11,46,977,0,0,0.19
2000,1,11,3,0,0,0,-4,-9,65,977,0,0,0.19
2000,1,11,4,0,0,0,-3,-10,55,977,0,0,0.19
2000,1,11,5,0,0,0,-3,-11,50,977,1.5,330,0.19
2000,1,11,6,0,0,0,-6,-10,70,977,0,0,0.19
2000,1,11,7,0,0,0,-4,-11,54,979,2.1,240,0.19
2000,1,11,8,100,451,48,-3,-8,65,980,0,0,0.19
2000,1,11,9,251,713,62,-1,-9,50,980,0,0,0.19
2000,1,11,10,389,825,74,2,-8,44,981,0,0,0.19
2000,1,11,11,476,861,82,3,-10,34,980,0,0,0.19
2000,1,11,12,507,877,81,6,-11,25,980,4.1,170,0.19
2000,1,11,13,479,858,80,7,-10,26,979,4.4,170,0.19
2000,1,11,14,397,831,67,8,-10,24,978,4.6,160,0.19
2000,1,11,15,258,723,52,7,-9,28,977,4.6,150,0.19
2000,1,11,16,101,488,33,6,-9,30,977,3.1,130,0.19
2000,1,11,17,0,0,0,3,-8,41,976,2.6,160,0.19
2000,1,11,18,0,0,0,2,-9,40,976,3.1,150,0.19
2000,1,11,19,0,0,0,1,-9,43,976,2.1,150,0.19
2000,1,11,20,0,0,0,0,-9,46,975,0,0,0.19
2000,1,11,21,0,0,0,1,-9,43,975,1.5,140,0.19
2000,1,11,22,0,0,0,0,-8,51,974,1.5,70,0.19
2000,1,11,23,0,0,0,-0.6,-8,53,973,0.8,40,0.19
2000,1,12,0,0,0,0,-1,-8,55,972,0,0,0.19
2000,1,12,1,0,0,0,-2,-9,55,971,1.5,50,0.19
2000,1,12,2,0,0,0,-1,-8,55,970,2.1,10,0.19
2000,1,12,3,0,0,0,-2,-8,60,969,0,0,0.19
2000,1,12,4,0,0,0,-2,-8,60,969,2.1,10,0.19
2000,1,12,5,0,0,0,-3,-8,65,968,2.1,360,0.19
2000,1,12,6,0,0,0,-2,-7,65,968,2.1,10,0.19
2000,1,12,7,0,0,0,-3,-7,71,968,0,0,0.19
2000,1,12,8,99,434,49,-1,-4,78,969,0,0,0.19
2000,1,12,9,266,725,73,1,-4,67,970,0,0,0.19
2000,1,12,10,389,819,75,2,-4,62,970,0,0,0.19
2000,1,12,11,476,861,80,6,-3,51,971,3.6,280,0.19
2000,1,12,12,507,871,82,9,-4,38,972,6.2,350,0.19
2000,1,12,13,479,852,80,9,-4,38,972,4.1,330,0.19
2000,1,12,14,397,825,68,12,-4,31,974,4.6,360,0.19
2000,1,12,15,264,741,50,13,-4,29,975,3.1,350,0.19
2000,1,12,16,106,521,32,13,-4,29,977,4.6,350,0.19
2000,1,12,17,0,0,0,8,-4,41,978,3.1,10,0.19
2000,1,12,18,0,0,0,3,-6,49,979,0,0,0.19
2000,1,12,19,0,0,0,0,-6,60,981,1.5,10,0.19
2000,1,12,20,0,0,0,4,-6,45,983,3.6,10,0.19
2000,1,12,21,0,0,0,1,-7,51,984,0,0,0.19
2000,1,12,22,0,0,0,2,-7,48,985,1.5,10,0.19
2000,1,12,23,0,0,0,0,-7,55,987,2.1,320,0.19
2000,1,13,0,0,0,0,-1,-8,55,987,2.1,340,0.19
2000,1,13,1,0,0,0,-2,-10,50,988,1.5,340,0.19
2000,1,13,2,0,0,0,-3,-9,60,990,3.1,350,0.19
2000,1,13,3,0,0,0,-3,-11,50,991,2.1,350,0.19
2000,1,13,4,0,0,0,-4,-11,54,992,2.1,350,0.19
2000,1,13,5,0,0,0,-5,-11,59,993,2.1,350,0.19
2000,1,13,6,0,0,0,-5,-11,59,995,1.5,340,0.19
2000,1,13,7,0,0,0,-4,-10,59,996,2.6,10,0.19
2000,1,13,8,99,424,49,-3,-9,60,997,3.6,360,0.19
2000,1,13,9,251,706,62,-3,-10,55,999,4.1,20,0.19
2000,1,13,10,389,813,76,-1,-9,50,1000,3.1,20,0.19
2000,1,13,11,476,855,81,1,-8,47,1000,2.1,10,0.19
2000,1,13,12,514,877,83,4,-7,42,999,2.6,30,0.19
2000,1,13,13,485,864,78,4,-8,38,999,0,0,0.19
2000,1,13,14,403,831,68,5,-7,39,999,0,0,0.19
2000,1,13,15,265,730,52,6,-7,36,1000,2.1,130,0.19
2000,1,13,16,107,507,33,4,-7,42,1000,1.5,140,0.19
2000,1,13,17,0,0,0,-1,-8,55,1000,0,0,0.19
2000,1,13,18,0,0,0,-3,-8,65,1000,0,0,0.19
2000,1,13,19,0,0,0,-4,-7,77,1000,0,0,0.19
2000,1,13,20,0,0,0,-4,-8,71,1000,1.5,360,0.19
2000,1,13,21,0,0,0,-6,-8,84,1000,0,0,0.19
2000,1,13,22,0,0,0,-3,-8,65,999,0,0,0.19
2000,1,13,23,0,0,0,-4,-8,71,999,0,0,0.19
2000,1,14,0,0,0,0,-6,-8,84,999,0,0,0.19
2000,1,14,1,0,0,0,-9,-12,77,998,0,0,0.19
2000,1,14,2,0,0,0,-9,-11,84,998,0,0,0.19
2000,1,14,3,0,0,0,-9,-10,92,998,0,0,0.19
2000,1,14,4,0,0,0,-9,-11,84,997,1.5,30,0.19
2000,1,14,5,0,0,0,-8,-10,84,997,0,0,0.19
2000,1,14,6,0,0,0,-6,-8,84,997,1.5,190,0.19
2000,1,14,7,0,0,0,-4,-8,71,996,3.1,210,0.19
2000,1,14,8,98,415,49,-2,-6,71,996,2.6,200,0.19
2000,1,14,9,265,725,70,1,-7,51,996,4.1,200,0.19
2000,1,14,10,396,831,74,6,-7,36,994,9.8,210,0.19
2000,1,14,11,482,861,83,7.8,-6.3,34,993,10.8,210,0.19
2000,1,14,12,514,871,84,9,-6,32,991,11.8,210,0.19
2000,1,14,13,491,871,79,9.6,-5.5,32,990,10.1,210,0.19
2000,1,14,14,403,755,97,10,-4.9,33,990,8.5,210,0.19
2000,1,14,15,244,483,102,10.1,-4.2,35,989,6.8,200,0.19
2000,1,14,16,112,414,50,9,-4,38,988,5.1,200,0.19
2000,1,14,17,0,0,0,7,-4,44,988,3.6,190,0.19
2000,1,14,18,0,0,0,6,-4,47,988,4.1,190,0.19
2000,1,14,19,0,0,0,5,-4,50,987,3.6,210,0.19
2000,1,14,20,0,0,0,6,-4,47,986,5.1,210,0.19
2000,1,14,21,0,0,0,6,-6,39,986,6.2,210,0.19
2000,1,14,22,0,0,0,6,-6,39,985,6.2,210,0.19
2000,1,14,23,0,0,0,5,-6,42,984,4.6,200,0.19
2000,1,15,0,0,0,0,6,-5,43,983,6.2,200,0.19
2000,1,15,1,0,0,0,6,-5,43,982,6.2,200,0.19
2000,1,15,2,0,0,0,7,-6,37,981,6.7,200,0.19
2000,1,15,3,0,0,0,7,-4,44,981,7.7,210,0.19
2000,1,15,4,0,0,0,7,-4,44,981,5.1,210,0.19
2000,1,15,5,0,0,0,5,-4,50,980,4.6,200,0.19
2000,1,15,6,0,0,0,3,-4,58,979,3.1,210,0.19
2000,1,15,7,0,0,0,2,-4,62,979,3.6,190,0.19
2000,1,15,8,110,509,49,4,-2,64,979,4.1,200,0.19
2000,1,15,9,265,718,71,7,-2,52,980,5.1,210,0.19
2000,1,15,10,396,825,74,11,-1,43,980,7.2,230,0.19
2000,1,15,11,482,855,84,12,-1,40,980,6.7,230,0.19
2000,1,15,12,520,884,82,13,-1,38,979,8.2,220,0.19
2000,1,15,13,491,865,79,14.1,0.5,39,979,6.7,230,0.19
2000,1,15,14,409,831,69,15,2,41,978,5.1,230,0.19
2000,1,15,15,271,719,56,16,2,39,978,5.1,220,0.19
2000,1,15,16,117,553,33,14,2,44,979,4.1,230,0.19
2000,1,15,17,0,0,0,9,1,57,979,0,0,0.19
2000,1,15,18,0,0,0,3,-1,74,980,0,0,0.19
2000,1,15,19,0,0,0,5,1,75,981,1.5,210,0.19
2000,1,15,20,0,0,0,6,1,70,981,3.6,230,0.19
2000,1,15,21,0,0,0,0,-2,85,981,0,0,0.19
2000,1,15,22,0,0,0,-1,-3,85,982,0,0,0.19
2000,1,15,23,0,0,0,-2,-3,92,982,1.5,330,0.19
2000,1,16,0,0,0,0,-3,-4,92,983,0,0,0.19
2000,1,16,1,0,0,0,2,-2,73,985,4.6,40,0.19
2000,1,16,2,0,0,0,2,-4,62,986,6.7,30,0.19
2000,1,16,3,0,0,0,1,-4,67,987,6.2,30,0.19
2000,1,16,4,0,0,0,0,-5,66,988,7.2,40,0.19
2000,1,16,5,0,0,0,-1,-6,66,989,7.7,40,0.19
2000,1,16,6,0,0,0,-2,-7,65,990,7.2,50,0.19
2000,1,16,7,0,0,0,-3,-7,71,991,5.7,60,0.19
2000,1,16,8,60,24,58,-3,-8,65,992,6.2,50,0.19
2000,1,16,9,155,70,135,-2,-8,60,992,6.7,40,0.19
2000,1,16,10,237,98,199,0,-9,46,993,6.2,30,0.19
2000,1,16,11,294,109,243,1,-9,43,992,6.7,40,0.19
2000,1,16,12,314,108,260,3,-9,37,992,7.7,50,0.19
2000,1,16,13,298,107,247,3,-9,37,990,5.7,60,0.19
2000,1,16,14,247,100,206,3,-10,34,990,5.1,90,0.19
2000,1,16,15,167,81,143,3,-10,34,989,5.1,80,0.19
2000,1,16,16,68,58,58,2,-10,37,989,3.6,70,0.19
2000,1,16,17,0,0,0,2,-10,37,989,5.1,50,0.19
2000,1,16,18,0,0,0,2,-10,37,990,5.7,50,0.19
2000,1,16,19,0,0,0,1,-10,40,990,6.2,70,0.19
2000,1,16,20,0,0,0,1,-9,43,989,6.2,90,0.19
2000,1,16,21,0,0,0,1,-9,43,989,5.1,80,0.19
2000,1,16,22,0,0,0,1,-8,47,988,4.6,90,0.19
2000,1,16,23,0,0,0,1,-7,51,987,4.1,90,0.19
2000,1,17,0,0,0,0,1,-6,56,987,3.6,90,0.19
2000,1,17,1,0,0,0,1,-6,56,986,2.6,80,0.19
2000,1,17,2,0,0,0,1,-4,67,986,2.1,90,0.19
2000,1,17,3,0,0,0,1,-4,67,985,2.6,80,0.19
2000,1,17,4,0,0,0,1,-4,67,985,2.6,40,0.19
2000,1,17,5,0,0,0,1,-4,67,984,2.6,20,0.19
2000,1,17,6,0,0,0,1,-3,72,985,2.6,10,0.19
2000,1,17,7,0,0,0,1,-3,72,984,1.5,90,0.19
2000,1,17,8,60,24,57,2,-3,67,985,2.6,30,0.19
2000,1,17,9,88,0,88,2,-2,73,985,1.5,50,0.19
2000,1,17,10,73,0,73,3,-2,68,985,0,0,0.19
2000,1,17,11,200,18,192,4,-1,69,984,0,0,0.19
2000,1,17,12,284,96,236,4,-1,69,983,1.8,340,0.19
2000,1,17,13,497,668,175,6,0,65,982,3.6,310,0.19
2000,1,17,14,416,696,126,7,-1,56,982,2.9,330,0.19
2000,1,17,15,220,300,128,7,-1,56,982,2.1,340,0.19
2000,1,17,16,123,376,63,6,-1,60,982,0,0,0.19
2000,1,17,17,0,0,0,4,-2,64,983,0,0,0.19
2000,1,17,18,0,0,0,0,-2,85,983,1.5,350,0.19
2000,1,17,19,0,0,0,-2,-4,85,983,0,0,0.19
2000,1,17,20,0,0,0,-3,-4,92,983,0,0,0.19
2000,1,17,21,0,0,0,-3,-4,92,983,1.5,170,0.19
2000,1,17,22,0,0,0,-4,-6,84,983,0,0,0.19
2000,1,17,23,0,0,0,-4,-4,100,982,0,0,0.19
